 Licence Number: 미인식 차량  Entering Time: 2020/08/29 17:36:01
 Licence Number: 미인식 차량  Entering Time: 2020/08/29 17:37:50
 Licence Number: 14무6638  Entering Time: 2020/08/29 17:39:08
 Licence Number: 14무6638  Entering Time: 2020/08/29 17:44:03
 Licence Number: 14무6638  Entering Time: 2020/08/29 17:44:34
 Licence Number: 미인식 차량  Entering Time: 2020/08/29 17:48:56
 Licence Number: 미인식 차량  Entering Time: 2020/08/29 17:50:50
 Licence Number: 56라8502  Entering Time: 2020/08/29 17:51:34
 Licence Number: 06꼬  Entering Time: 2020/09/02 16:06:12
 Licence Number: 060  Entering Time: 2020/09/02 16:22:14
 Licence Number: 74무6638  Entering Time: 2020/09/02 16:24:57
 Licence Number: 74무6638  Entering Time: 2020/09/02 16:39:46
 Licence Number: 14무6638  Entering Time: 2020/09/02 16:40:55
 Licence Number: 14무6638  Entering Time: 2020/09/02 17:25:56
 Licence Number: 14무6638  Entering Time: 2020/09/02 17:26:32
 Licence Number: 56라8502  Entering Time: 2020/09/03 10:39:36
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 30분 59초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 31분 00초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 31분 02초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 31분 04초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 36분 08초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 36분 37초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 36분 39초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 36분 41초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 36분 43초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 40분 52초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 40분 58초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 41분 00초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 28초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 31초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 36초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 39초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 44초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 49초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 48분 56초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 49분 01초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 49분 22초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 49분 27초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 49분 30초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 14시 49분 34초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 14시 51분 30초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 14시 51분 53초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 20분 57초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 23분 01초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 23분 15초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 23분 25초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 23분 32초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 23분 37초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 23분 43초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 23분 49초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 26분 19초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 26분 42초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 27분 56초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 28분 26초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 15시 28분 40초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 28일 15시 31분 16초
 Licence Number: 14무6638  Entering Time: 2020년 09월 28일 17시 33분 12초
 Licence Number: 미인식 차량  Entering Time: 2020년 09월 29일 08시 47분 27초
 Licence Number: 14무6638  Entering Time: 2020년 09월 29일 08시 47분 32초
 Licence Number: 14우6638  Entering Time: 2020년 09월 29일 08시 50분 30초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 10시 01분 21초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 10시 03분 52초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 10시 29분 07초
 Licence Number: 14무6638  Entering Time: 2020년 10월 05일 10시 30분 12초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 30분 44초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 30분 56초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 31분 04초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 31분 28초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 31분 34초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 31분 51초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 38분 28초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 45분 29초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 45분 36초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 45분 50초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 46분 05초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 46분 17초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 46분 22초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 48분 12초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 48분 43초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 48분 49초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 49분 13초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 49분 30초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 49분 36초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 49분 51초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 49분 57초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 50분 10초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 50분 37초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 51분 50초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 52분 58초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 53분 03초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 53분 12초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 53분 18초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 53분 25초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 53분 34초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 53분 58초
 Licence Number: 56칸8502  Entering Time: 2020년 10월 05일 10시 55분 13초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 55분 29초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 55분 35초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 55분 38초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 55분 46초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 55분 52초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 56분 01초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 58분 56초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 59분 10초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 59분 19초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 59분 23초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 10시 59분 29초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 10시 59분 43초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 00분 08초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 00분 21초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 00분 33초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 01분 28초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 01분 33초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 01분 40초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 01분 47초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 01분 55초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 02분 54초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 03분 44초
 Licence Number: 56라8502  Entering Time: 2020년 10월 05일 11시 04분 58초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 06분 06초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 06분 19초
 Licence Number: 756라8502  Entering Time: 2020년 10월 05일 11시 06분 25초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 06분 35초
 Licence Number: 미인식 차량  Entering Time: 2020년 10월 05일 11시 06분 41초
